[1, 'c', 100, 1, 3]
[1, 'n', 100, 1, 3]
[1, 'y', 100, 1, 3]
[0, 'y', 500, 1, 3]
[0, 'c', 500, 1, 3]
[0, 'n', 500, 1, 3]
[1, 'c', 500, 1, 3]
[1, 'n', 500, 1, 3]
[1, 'e', 500, 1, 3]
[0, 'c', 900, 1, 3]
[0, 'n', 900, 1, 3]
[1, 'c', 900, 1, 3]
[1, 'n', 900, 1, 3]
[0, 'e', 1100, 1, 3]
[1, 'y', 1100, 1, 3]
[0, 'y', 1300, 1, 3]
[0, 'c', 1300, 1, 3]
[0, 'n', 1300, 1, 3]
[1, 'c', 1300, 1, 3]
[1, 'n', 1300, 1, 3]
[1, 'y', 1300, 1, 3]
[0, 'y', 1400, 1, 3]
[1, 'u', 1400, 1, 3]
[0, 'u', 1500, 1, 3]
[1, '2', 1500, 1, 4]
[0, '2', 1600, 1, 4]
[1, 'w', 1600, 1, 4]
[0, 'w', 1700, 1, 4]
[0, 'c', 1700, 1, 4]
[0, 'n', 1700, 1, 4]
[1, 'x', 1700, 1, 4]
[1, 'b', 1700, 1, 4]
[1, 'e', 1700, 1, 4]
[0, 'x', 2100, 1, 4]
[0, 'b', 2100, 1, 4]
[1, 'x', 2100, 1, 4]
[1, 'b', 2100, 1, 4]
[0, 'e', 2500, 1, 4]
[0, 'x', 2500, 1, 4]
[0, 'b', 2500, 1, 4]
[1, 'x', 2500, 1, 4]
[1, 'b', 2500, 1, 4]
[1, 'e', 2700, 1, 4]
[0, 'e', 2900, 1, 4]
[0, 'x', 2900, 1, 4]
[0, 'b', 2900, 1, 4]
[1, 'x', 2900, 1, 4]
[1, 'b', 2900, 1, 4]
[1, 'e', 2900, 1, 4]
[0, 'e', 3033, 1, 4]
[1, 'r', 3033, 1, 4]
[0, 'r', 3166, 1, 4]
[1, 't', 3166, 1, 4]
[0, 't', 3300, 1, 4]
[0, 'x', 3300, 1, 4]
[0, 'b', 3300, 1, 4]
[1, 'z', 3300, 1, 4]
[1, 'v', 3300, 1, 4]
[1, 'y', 3300, 1, 4]
[0, 'z', 3700, 1, 4]
[0, 'v', 3700, 1, 4]
[1, 'z', 3700, 1, 4]
[1, 'v', 3700, 1, 4]
[0, 'z', 4100, 1, 4]
[0, 'v', 4100, 1, 4]
[0, 'y', 4100, 1, 4]
[1, 'z', 4100, 1, 4]
[1, 'v', 4100, 1, 4]
[1, 'y', 4300, 1, 4]
[0, 'y', 4500, 1, 4]
[0, 'z', 4500, 1, 4]
[0, 'v', 4500, 1, 4]
[1, 'z', 4500, 1, 4]
[1, 'v', 4500, 1, 4]
[1, 'y', 4500, 1, 4]
[0, 'y', 4633, 1, 4]
[1, 't', 4633, 1, 4]
[0, 't', 4766, 1, 4]
[1, 'r', 4766, 1, 4]
[0, 'r', 4899, 1, 4]
[0, 'z', 4900, 1, 4]
[0, 'v', 4900, 1, 4]
[1, 'z', 4900, 1, 4]
[1, 'c', 4900, 1, 4]
[1, 't', 4900, 1, 4]
[0, 't', 5200, 1, 4]
[1, 'r', 5200, 1, 4]
[0, 'r', 5300, 1, 4]
[0, 'z', 5300, 1, 4]
[0, 'c', 5300, 1, 4]
[1, 'z', 5300, 1, 4]
[1, 'c', 5300, 1, 4]
[1, 'e', 5300, 1, 4]
[0, 'z', 5700, 1, 4]
[0, 'c', 5700, 1, 4]
[1, 'z', 5700, 1, 4]
[1, 'c', 5700, 1, 4]
[0, 'z', 6100, 1, 4]
[0, 'c', 6100, 1, 4]
[0, 'e', 6100, 1, 4]
[1, 'z', 6100, 1, 4]
[1, 'c', 6100, 1, 4]
[1, 'e', 6100, 1, 4]
[0, 'z', 6500, 1, 4]
[0, 'c', 6500, 1, 4]
[0, 'e', 6500, 1, 4]
[1, 'v', 6500, 1, 4]
[1, 'x', 6500, 1, 4]
[1, 'w', 6500, 1, 4]
[0, 'w', 6700, 1, 4]
[1, 'w', 6700, 1, 4]
[0, 'w', 6800, 1, 4]
[1, 'e', 6800, 1, 4]
[0, 'v', 6900, 1, 4]
[0, 'x', 6900, 1, 4]
[0, 'e', 6900, 1, 4]
[1, 'v', 6900, 1, 4]
[1, 'x', 6900, 1, 4]
[1, 'r', 6900, 1, 4]
[0, 'v', 7300, 1, 4]
[0, 'x', 7300, 1, 4]
[1, 'v', 7300, 1, 4]
[1, 'x', 7300, 1, 4]
[0, 'v', 7700, 1, 4]
[0, 'x', 7700, 1, 4]
[0, 'r', 7700, 1, 4]
[1, 'v', 7700, 1, 4]
[1, 'x', 7700, 1, 4]
[1, 'e', 7700, 1, 4]
[0, 'e', 7900, 1, 4]
[1, 'w', 7900, 1, 4]
[0, 'w', 8100, 1, 4]
[0, 'v', 8100, 1, 4]
[0, 'x', 8100, 1, 4]
[1, 'c', 8100, 1, 4]
[1, 'z', 8100, 1, 4]
[1, 'q', 8100, 1, 4]
[0, 'q', 8300, 1, 4]
[1, 'q', 8300, 1, 4]
[0, 'q', 8400, 1, 4]
[1, 'w', 8400, 1, 4]
[0, 'w', 8500, 1, 4]
[0, 'c', 8500, 1, 4]
[0, 'z', 8500, 1, 4]
[1, 'c', 8500, 1, 4]
[1, 'z', 8500, 1, 4]
[1, 'e', 8500, 1, 4]
[0, 'c', 8900, 1, 4]
[0, 'z', 8900, 1, 4]
[1, 'c', 8900, 1, 4]
[1, 'z', 8900, 1, 4]
[0, 'c', 9300, 1, 4]
[0, 'z', 9300, 1, 4]
[0, 'e', 9300, 1, 4]
[1, 'c', 9300, 1, 4]
[1, 'z', 9300, 1, 4]
[1, 'w', 9300, 1, 4]
[0, 'w', 9500, 1, 4]
[1, 'q', 9500, 1, 4]
[0, 'q', 9700, 1, 4]
[0, 'c', 9700, 1, 4]
[0, 'z', 9700, 1, 4]
[1, 'd', 9700, 1, 4]
[1, 'm', 9700, 1, 4]
[1, 'u', 9700, 1, 3]
[0, 'u', 9900, 1, 3]
[1, 'u', 9900, 1, 3]
[1, 'u', 10000, 1, 3]
[0, 'u', 10000, 1, 3]
[1, '2', 10000, 1, 4]
[0, '2', 10100, 1, 4]
[0, 'd', 10100, 1, 4]
[0, 'm', 10100, 1, 4]
[1, 'd', 10100, 1, 4]
[1, 'm', 10100, 1, 4]
[1, '3', 10100, 1, 4]
[0, 'd', 10500, 1, 4]
[0, 'm', 10500, 1, 4]
[1, 'd', 10500, 1, 4]
[1, 'm', 10500, 1, 4]
[0, '3', 10900, 1, 4]
[0, 'd', 10900, 1, 4]
[0, 'm', 10900, 1, 4]
[1, 'd', 10900, 1, 4]
[1, 'm', 10900, 1, 4]
[1, '5', 10900, 1, 4]
[0, '5', 11300, 1, 4]
[0, 'd', 11300, 1, 4]
[0, 'm', 11300, 1, 4]
[1, 'c', 11300, 1, 4]
[1, 'm', 11300, 1, 4]
