[1, 'q', 0, 2, 3]
[0, 'q', 513, 2, 3]
[1, 'w', 543, 2, 3]
[0, 'w', 1022, 2, 3]
[1, 'e', 1127, 2, 3]
[0, 'e', 1627, 2, 3]
[1, 'r', 1746, 2, 3]
[0, 'r', 2216, 2, 3]
[1, 't', 2374, 2, 3]
[0, 't', 2856, 2, 3]
[1, 'r', 2997, 2, 3]
[0, 'r', 3464, 2, 3]
[1, 'e', 3619, 2, 3]
[0, 'e', 3989, 2, 3]
[1, 'w', 4248, 2, 3]
[0, 'w', 4744, 2, 3]
[1, 'q', 4963, 2, 3]
[0, 'q', 5432, 2, 3]
[1, 'e', 5611, 2, 3]
[0, 'e', 6044, 2, 3]
[1, 't', 6223, 2, 3]
[0, 't', 6634, 2, 3]
[1, 'e', 6843, 2, 3]
[0, 'e', 7159, 2, 3]
[1, 'q', 7518, 2, 3]
[0, 'q', 8091, 2, 3]
[1, 't', 8850, 2, 3]
[1, 'q', 8874, 2, 3]
[1, 'e', 8901, 2, 3]
[0, 'q', 9392, 2, 3]
[0, 'e', 9412, 2, 3]
[0, 't', 9412, 2, 3]
[1, 't', 10133, 2, 3]
[1, 'e', 10175, 2, 3]
[0, 't', 10438, 2, 3]
[0, 'e', 10445, 2, 3]
[1, 'e', 10828, 2, 3]
[1, 'q', 10868, 2, 3]
[0, 'q', 11088, 2, 3]
[0, 'e', 11144, 2, 3]
[1, 'e', 11512, 2, 3]
[1, 'q', 11545, 2, 3]
[0, 'q', 12096, 2, 3]
[0, 'e', 12147, 2, 3]
[1, 'e', 13599, 2, 3]
[1, 'q', 13647, 2, 3]
[0, 'q', 13968, 2, 3]
[0, 'e', 14017, 2, 3]
[1, 'r', 14291, 2, 3]
[1, 'w', 14317, 2, 3]
[0, 'r', 14592, 2, 3]
[0, 'w', 14592, 2, 3]
[1, 'e', 14935, 2, 3]
[1, 't', 14968, 2, 3]
[0, 't', 15307, 2, 3]
[0, 'e', 15320, 2, 3]
[1, 'y', 15635, 2, 3]
[1, 'r', 15666, 2, 3]
[0, 'y', 15971, 2, 3]
[0, 'r', 15997, 2, 3]
[1, 't', 16336, 2, 3]
[1, 'e', 16392, 2, 3]
[0, 't', 16669, 2, 3]
[0, 'e', 16695, 2, 3]
[1, 'w', 17051, 2, 3]
[1, 'r', 17077, 2, 3]
[0, 'r', 17391, 2, 3]
[0, 'w', 17391, 2, 3]
[1, 'q', 17788, 2, 3]
[1, 'e', 17825, 2, 3]
[0, 'q', 18112, 2, 3]
[0, 'e', 18112, 2, 3]
[1, 'q', 18693, 2, 3]
[1, 'e', 19114, 2, 3]
[0, 'q', 19185, 2, 3]
[1, 't', 19586, 2, 3]
[0, 'e', 19620, 2, 3]
[0, 't', 20256, 2, 3]
[1, 'e', 21318, 2, 3]
[0, 'e', 21634, 2, 3]
[1, 'w', 21880, 2, 3]
[0, 'w', 22336, 2, 3]
[1, 'q', 22468, 2, 3]
[0, 'q', 22917, 2, 3]
[1, 'w', 23084, 2, 3]
[0, 'w', 23482, 2, 3]
[1, 'e', 23736, 2, 3]
[0, 'e', 24116, 2, 3]
[1, 'e', 24371, 2, 3]
[0, 'e', 24719, 2, 3]
[1, 'e', 25041, 2, 3]
[0, 'e', 25574, 2, 3]
[1, 'w', 26187, 2, 3]
[0, 'w', 26517, 2, 3]
[1, 'w', 26851, 2, 3]
[0, 'w', 27196, 2, 3]
[1, 'w', 27557, 2, 3]
[0, 'w', 28126, 2, 3]
[1, 'e', 28823, 2, 3]
[0, 'e', 29280, 2, 3]
[1, 't', 29473, 2, 3]
[0, 't', 29860, 2, 3]
[1, 't', 30193, 2, 3]
[0, 't', 30830, 2, 3]
[1, 'e', 31492, 2, 3]
[0, 'e', 31976, 2, 3]
[1, 'w', 32157, 2, 3]
[0, 'w', 32634, 2, 3]
[1, 'q', 32852, 2, 3]
[0, 'q', 33377, 2, 3]
[1, 'w', 33556, 2, 3]
[0, 'w', 34024, 2, 3]
[1, 'e', 34232, 2, 3]
[0, 'e', 34721, 2, 3]
[1, 'e', 34923, 2, 3]
[0, 'e', 35394, 2, 3]
[1, 'e', 35647, 2, 3]
[0, 'e', 36284, 2, 3]
[1, 'w', 36779, 2, 3]
[0, 'w', 37272, 2, 3]
[1, 'w', 37477, 2, 3]
[0, 'w', 37928, 2, 3]
[1, 'e', 38163, 2, 3]
[0, 'e', 38649, 2, 3]
[1, 'w', 38874, 2, 3]
[0, 'w', 39260, 2, 3]
[1, 'q', 39676, 2, 3]
[0, 'q', 40321, 2, 3]
[1, 'q', 41136, 2, 3]
[1, 'e', 41182, 2, 3]
[1, 't', 41199, 2, 3]
[0, 'q', 42032, 2, 3]
[0, 't', 42033, 2, 3]
[0, 'e', 42043, 2, 3]
